Drone, Time Taken (ms)
0, 0.1081
1, 0.0353
2, 0.037
3, 0.0347
4, 0.0349
5, 0.0338
6, 0.0348
7, 0.0338
8, 0.0345
9, 0.0346
10, 0.0343
11, 0.0341
12, 0.0343
13, 0.0335
14, 0.0339
15, 0.034
16, 0.0346
17, 0.0339
18, 0.034
19, 0.0339
20, 0.0336
21, 0.0365
22, 0.0349
23, 0.034
24, 0.0343
25, 0.0338
26, 0.0335
27, 0.0341
28, 0.0344
29, 0.0341
30, 0.0349
31, 0.0341
32, 0.0337
33, 0.034
34, 0.0343
35, 0.0335
36, 0.0343
37, 0.0424
38, 0.0342
39, 0.0343
40, 0.0339
41, 0.0343
42, 0.0344
43, 0.0341
44, 0.0364
45, 0.0342
46, 0.0344
47, 0.0336
48, 0.0344
49, 0.0338
50, 0.0342
51, 0.0344
52, 0.0344
53, 0.0338
54, 0.034
55, 0.0334
56, 0.0342
57, 0.0342
58, 0.0349
59, 0.0338
60, 0.0343
61, 0.0344
62, 0.0346
63, 0.0344
64, 0.0339
65, 0.0347
66, 0.0341
67, 0.0334
68, 0.0336
69, 0.0349
70, 0.0346
71, 0.0342
72, 0.0347
73, 0.0336
74, 0.034
75, 0.0341
76, 0.0345
77, 0.0338
78, 0.0343
79, 0.034
80, 0.0338
81, 0.0343
82, 0.0339
83, 0.035
84, 0.0338
85, 0.0338
86, 0.0347
87, 0.0339
88, 0.0344
89, 0.0336
90, 0.0347
91, 0.0337
92, 0.034
93, 0.0357
94, 0.035
95, 0.0336
96, 0.0347
97, 0.0336
98, 0.0338
99, 0.0343
100, 0.0346
101, 0.0334
102, 0.0344
103, 0.0341
104, 0.0335
105, 0.0343
106, 0.0348
107, 0.0341
108, 0.0344
109, 0.0338
110, 0.0338
111, 0.0343
112, 0.0343
113, 0.0343
114, 0.0354
115, 0.0337
116, 0.0336
117, 0.0343
118, 0.0344
119, 0.0343
120, 0.0352
121, 0.0341
122, 0.0336
123, 0.0338
124, 0.0368
125, 0.0348
126, 0.0356
127, 0.0344
128, 0.0341
129, 0.0344
130, 0.034
131, 0.0344
132, 0.0341
133, 0.0334
134, 0.0341
135, 0.0348
136, 0.0342
137, 0.0338
138, 0.0342
139, 0.0339
140, 0.0337
141, 0.0341
142, 0.0345
143, 0.0336
144, 0.035
145, 0.0345
146, 0.0338
147, 0.0343
148, 0.0346
149, 0.0342
150, 0.0343
151, 0.0338
152, 0.0339
153, 0.0344
154, 0.0799
155, 0.0354
156, 0.0362
157, 0.0336
158, 0.034
159, 0.0359
160, 0.0346
161, 0.0339
162, 0.0346
163, 0.035
164, 0.0341
165, 0.0352
166, 0.0345
167, 0.034
168, 0.0347
169, 0.0345
170, 0.035
171, 0.0349
172, 0.0348
173, 0.0347
174, 0.0348
175, 0.0342
176, 0.0351
177, 0.0353
178, 0.0419
179, 0.0338
180, 0.0347
181, 0.0344
182, 0.0338
183, 0.0347
184, 0.0349
185, 0.0337
186, 0.0348
187, 0.0337
188, 0.0338
189, 0.0341
190, 0.0341
191, 0.0349
192, 0.0343
193, 0.0337
194, 0.035
195, 0.0339
196, 0.0341
197, 0.0344
198, 0.035
199, 0.0338
